,tweet_id,text,label
2087,1293162836328407040,Russian President Vladimir Putin says that a coronavirus vaccine developed in the country has been registered for use  ,factual
2091,1293194348226662400,"Russian President Vladimir Putin: ""A vaccine against Coronovirus has been registered for the first time in the world this morning... I know that it works quite effectively, it forms a stable immunity."" ",factual
2094,1293188241676353536,"Russian President Vladimir Putin said one of his two daughters has received two shots of the vaccine and is feeling well. “She has taken part in the experiment,” Putin said. ",factual
2099,1293167576688685056,Russia approves first coronavirus vaccine: Russian President Vladimir Putin says Russia's coronavirus vaccine has been registered; his daughter is among those inoculated #Russian #vaccine ,factual
2104,1293235295329103872,Russian president Vladimir Putin's announcement that his country has developed a coronavirus vaccine was greeted with both skepticism and concern by members of the global medical community. ,factual
4241,1268192790292434944,Pregnant elephant dies after being fed pineapple filled with explosives ,factual
4242,1268744614174916608,Pregnant elephant dies after being fed a pineapple filled with explosives ,factual
4245,1268521609712873472,"Union Forest Minister Prakash Javadekar spoke on the killing of a pregnant elephant in Kerala. He said, “Killing of an elephant in Kerala is shocking, it is very cruel and not the Indian culture. We will nab the culprits and punish them.” Read more: ",factual
4251,1268444209549197312,"Indian cricketer #RohitSharma said it was heartbreaking to hear about the death of a pregnant #elephant in #Kerala, adding that no animal deserves to be treated with cruelty. ",factual
4252,1269548638075678720,"Another #Elephant Found Dead In #Kerala's Kollam district, Could Have Died From Cracker-Filled Food.  OMG! What is happening?   ",factual
4253,1269378790087630848,Man is arrested over death of pregnant elephant that was killed by feeding it a pineapple filled with firecrackers ,factual
4261,1291115632482758656,sounds sketchy ,factual
4262,1291129713621164032,WEAR A Mask: 6-Year-Old British Girl Chokes On COVID-19 Face Mask That Was Inside Her McDonald's Chicken Nuggets [Video]  (Image via NurPhoto/Getty)  ,factual
2392,1349830398272962560,"The CDC said about 11.1 million people have received at least one dose of a Covid-19 vaccine, far short of the goal the Trump administration set to give at least 20 million people their first shots before the end of 2020. ",factual
4420,1219753976859463680,"""In NSW, the last decade has seen more than twice the amount of prescribed burning compared to the decade before and in all mapped records of prescribed burning across NSW national parks it's the highest decade."" #auspol #FactCheck ",factual
4421,1219747265666936832,Has there been a two-fold increase in hazard reduction burning in NSW this decade? ,factual
734,1262322392187187200,According to a news report up to 20% of hospital patients in England may have contracted #COVID19 while already in hospital for another illness. The #SARSCoV2 #virus #infection may have been transmitted by both hospital staff and other patients.  ,factual
755,1275569323499761664,"At least 9,161,460 cases of coronavirus have been registered in 196 countries and territories. Of these, at least 4,455,700 are considered recovered. ",factual
76,1293681286813347840,"The wider, massive impacts of coronavirus on global health.  “Most worrisome among all this bad news is the worsening of global poverty, a major driver of poor health — up to 400 million new poor living under the $1.90 poverty line”  ",factual
759,1253694548649209856,"US #coronavirus deaths approach 50,000  Between 1955-1975 there were 47,424 US combat deaths from the Vietnam War, a defeat that continues to perplex and stigmatize American imperialism. In approx 1 month, the COVID-19 pandemic has killed 49,751 in the US  ",factual
4668,1253672131608498176,"It has long been known that ultraviolet light has a sterilizing effect, because the radiation damages the virus's genetic material and their ability to replicate.  ",factual
5267,1323266250194247680,"A huge caravan of supporters of President Donald Trump reportedly blocked the road to a voting centre in Temecula, California, on Sunday afternoon, prompting would-be voters to call the police.  Trump is inciting acts that could harm the public. ",factual
5272,1323350912245526528,"A massive caravan of Trump supporters paraded for 60 miles through Riverside County before gathering at a large Temecula sports park, blocking access to the site, which included a vote center. ",factual
5273,1323310469688578048,"A caravan of Trump supporters blocked access to a voting station at the Temecula sports park in  Riverside County, California.   They snarled traffic and prevented some voters from reaching the polling station.   #ONEV1 #OVElections  #EveryVoteCounts  ",factual
6587,1333454874844008448,Japan had more suicides in October than all of the COVID-19 deaths during the pandemic ,factual
6595,1351530746868097024,"ICYMI: Riley June Williams, the woman accused of stealing Speaker Pelosi's laptop with the intention of selling it to Russia was taken into Federal custody last night in Middle District, PA ",factual
6596,1351566380131299328,The 22-year-old woman accused of stealing House Speaker Nancy Pelosi's laptop has been arrested.  ,factual
6597,1351476261114286080,Developing: A woman has turned herself in after being accused of stealing a laptop from Speaker Pelosi’s office during the riot at the U.S. Capitol. ,factual
6598,1351565862323548160,Riley Williams has been arrested today by @FBI in PA.   Williams is accused of breaking into the Capitol and leading a group towards House Speaker Nancy Pelosi’s office.   The laptop Williams is suspected of taking has not been recovered.  FULL STORY: ,factual
6599,1351486318203838464,"Riley June Williams, who has been charged with unlawfully breaching the Capitol building and with disorderly conduct, was arrested yesterday ",factual
